Habitat	Plant	Location	isolate	Tree_affiliation	Kingdom	Phylum	Class	Order	Family	Genus
Seed	Brassica napus	mini cage	gCoAvM132	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	mini cage	gCoAvM134	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Brassica napus	mini cage	gCoAvM135	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	mini cage	gCoAvM139	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Brassica napus	mini cage	gCoAvM141	Symmetrospora	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes incertae sedis	Symmetrosporaceae	Symmetrospora
Seed	Brassica napus	mini cage	gCoAvM143	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	mini cage	gCoAvM144	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	mini cage	gCoAvM145	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Brassica napus	mini cage	gCoAvM185	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Brassica napus	mini cage	gCoAvM188	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	mini cage	gCoAvM189	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Brassica napus	nursery	gCoAvP126	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP127	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP128	Bullera	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera
Seed	Brassica napus	nursery	gCoAvP163	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP164	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP165	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP178	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP179	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP180	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoAvP187	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	mini cage	gCoJuM081	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Brassica napus	mini cage	gCoJuM089	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Brassica napus	mini cage	gCoJuM092	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	mini cage	gCoJuM093	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoJuP097	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Brassica napus	nursery	gCoJuP099	Papiliotrema	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema
Seed	Brassica napus	nursery	gCoJuP192	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Brassica napus	nursery	gCoMiP160	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Brassica napus	mini cage	gCoMoM101	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
